,state,week_of_year,pop_count_2019,percent_age65over,percent_female,percent_white,percent_black,cases_cum,cases_cum_rate_100K,cases_count_pos,cases_rate_100K
1365,New Jersey,19,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,935458,10531.839557586585,11788.0,132.7150173549541
1366,New Jersey,20,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1000280,11261.637051222728,7802.0,87.83869743835697
1367,New Jersey,21,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1058900,11921.609422901332,7820.0,88.04135016251622
1368,New Jersey,22,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1104196,12431.573744763396,6291.0,70.82712709365595
1369,New Jersey,23,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1138454,12817.26691277714,3719.0,41.87030450823502
1370,New Jersey,24,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1160105,13061.024364486686,2717.0,30.589302863370406
1371,New Jersey,25,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1176811,13249.108609475816,2261.0,25.455433851336213
1372,New Jersey,26,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1199292,13502.210603466037,3894.0,43.8405393264499
1373,New Jersey,27,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1219386,13728.438594535808,2222.0,25.016352948991184
1374,New Jersey,28,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1234130,13894.43369259158,1987.0,22.37060905024549
1375,New Jersey,29,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1248128,14052.029961079419,1543.0,17.37184185431746
1376,New Jersey,30,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1259865,14184.170795715921,2526.0,28.43893229034731
1377,New Jersey,31,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1280931,14421.342033890289,2942.0,33.122461915360965
1378,New Jersey,32,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1298890,14623.53316017784,2401.0,27.031621705908115
1379,New Jersey,33,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1318000,14838.682802326904,2668.0,30.037637114270243
1380,New Jersey,34,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1333299,15010.926359377583,2029.0,22.843465406617064
1381,New Jersey,35,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1347119,15166.518617593183,2068.0,23.282546308962093
1382,New Jersey,36,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1363520,15351.16902475628,2450.0,27.58328745500828
1383,New Jersey,37,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1380831,15546.064652974099,2582.0,29.069407432176074
1384,New Jersey,38,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1400977,15772.878085246994,3130.0,35.23905703435752
1385,New Jersey,39,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1424309,16035.561049696078,3786.0,42.62462298149443
1386,New Jersey,40,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1454758,16378.370649580791,4650.0,52.35195374113817
1387,New Jersey,41,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1490085,16776.09913771266,5427.0,61.099796334012225
1388,New Jersey,42,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1531275,17239.83612149706,6386.0,71.89668313782974
1389,New Jersey,43,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1584766,17842.06372527496,8455.0,95.19048793146735
1390,New Jersey,44,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1655140,18634.368325829553,11165.0,125.70098140210916
1391,New Jersey,45,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1745437,19650.975716574405,14973.0,168.5732910464649
1392,New Jersey,46,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,1884561,21217.301138570554,24680.0,277.8594017916753
1393,New Jersey,47,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,2068396,23287.004668893598,26744.0,301.0969141619353
1394,New Jersey,48,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,2267365,25527.09410629586,28124.0,316.63362301414406
1395,New Mexico,4,2096829,18.00843082578503,50.523767078765125,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
1396,New Mexico,5,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
1397,New Mexico,6,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
1398,New Mexico,7,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
1399,New Mexico,8,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
1400,New Mexico,9,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
1401,New Mexico,10,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,0,0.0,0.0,0.0
